Symbol,Name,Industry,IndustryCode
AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
AMZN,Amazon.com Inc,다양한 소매업,534020
FB,Facebook Inc Class A,소프트웨어 및 IT서비스,572010
GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
TSLA,Tesla Inc,자동차 및 자동차 부품,531010
GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
CMCSA,Comcast Corp Class A,미디어 및 출판,533020
ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
INTC,Intel Corp,반도체 및 반도체 장비,571010
PEP,PepsiCo Inc,음료,541010
ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
COST,Costco Wholesale Corp,다양한 소매업,534020
TMUS,T-Mobile US Inc,통신 서비스,574010
ZIONO,Zions Bancorporation NA ADR,은행,551010
TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
AZN,AstraZeneca PLC ADR,제약,562010
AMGN,Amgen Inc,제약,562010
CHTR,Charter Communications Inc Class A,통신 서비스,574010
ZIONN,Zions Bancorporation NA ADR,은행,551010
JD,JD.Com Inc ADR,다양한 소매업,534020
SNY,Sanofi SA ADR,제약,562010
SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
INTU,Intuit Inc,소프트웨어 및 IT서비스,572010
ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
MU,Micron Technology Inc,반도체 및 반도체 장비,571010
MELI,Mercadolibre Inc,소프트웨어 및 IT서비스,572010
FISV,Fiserv Inc,전문 및 상업 서비스,522030
GILD,Gilead Sciences Inc,생명과학 및 메디컬 리서치,562020
ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
CSX,CSX Corp,화물 및 물류 서비스,524050
CME,CME Group Inc Class A,투자은행 및 서비스,551020
ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
EQIX,Equinix Inc,주택 및 상업용 리츠,601020
NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
TEAM,Atlassian Corporation PLC Class A,소프트웨어 및 IT서비스,572010
BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
LULU,Lululemon Athletica Inc,섬유 및 의류,532020
VOD,Vodafone Group PLC ADR,통신 서비스,574010
MNST,Monster Beverage Corp,음료,541010
NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
KDP,Keurig Dr Pepper Inc,음료,541010
CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
KHC,Kraft Heinz Co,식품 및 담배,541020
DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
AEP,American Electric Power Company Inc,전기 유틸리티,591010
ROKU,Roku Inc Class A,미디어 및 출판,533020
ROST,Ross Stores Inc,전문품 상점,534030
EXC,Exelon Corp,전기 유틸리티,591010
ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
KLAC,KLA Corp,반도체 및 반도체 장비,571010
MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
ERIC,Telefonaktiebolaget LM Ericsson ADR,커뮤니케이션 및 네트워킹,571020
BIIB,Biogen Inc,제약,562010
MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
CTAS,Cintas Corp,전문 및 상업 서비스,522030
WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
XLNX,Xilinx Inc,반도체 및 반도체 장비,571010
PTON,Peloton Interactive Inc Class A,레저 상품,532050
XEL,Xcel Energy Inc,전기 유틸리티,591010
EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
TROW,T. Rowe Price Group Inc,투자은행 및 서비스,551020
SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
DXCM,DexCom Inc,헬스케어 장비 및 용품,561010
PAYX,Paychex Inc,전문 및 상업 서비스,522030
CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
ORLY,O'Reilly Automotive Inc,전문품 상점,534030
OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
TSCAP,TriState Capital Holdings Inc ADR,은행,551010
PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
LI,Li Auto Inc. ADR,자동차 및 자동차 부품,531010
MRVL,Marvell Technology Group Ltd,반도체 및 반도체 장비,571010
ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
RPRX,Royalty Pharma PLC Class A,제약,562010
FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
CPRT,Copart Inc,전문품 상점,534030
WLTW,Willis Towers Watson PLC,보험,553010
BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
ALXN,Alexion Pharmaceuticals Inc,제약,562010
RYAAY,Ryanair Holdings PLC ADR,운송업,524060
DLTR,Dollar Tree Inc,다양한 소매업,534020
GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
